Defendant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5544,Confident,Confident,Neither,Confident,Confident,Neither,Confident,Confident,Guessing,Confident,Confident,Neither,Completely confident,Confident,Neither,Confident,Neither,Confident,Neither,Guessing
5600,Completely confident,Completely confident,Confident,Completely confident,Neither,Confident,Completely confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Neither,Neither
5623,Neither,Completely confident,Confident,Completely confident,Guessing,Confident,Confident,Completely confident,Neither,Confident,Confident,Completely confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident
5634,Confident,Completely confident,Guessing,Confident,Completely confident,Confident,Confident,Guessing,Confident,Confident,Confident,Guessing,Confident,Confident,Confident,Completely confident,Guessing,Confident,Neither,Guessing
5669,Neither,Completely confident,Confident,Guessing,Completely confident,Neither,Neither,Completely confident,Confident,Confident,Completely confident,Neither,Completely confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Confident
5754,Neither,Completely confident,Completely confident,Completely guessing,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Neither,Confident,Confident,Confident
5793,Confident,Completely confident,Guessing,Confident,Neither,Confident,Confident,Confident,Guessing,Confident,Confident,Neither,Neither,Confident,Confident,Completely confident,Neither,Confident,Guessing,Guessing
5801,Confident,Confident,Confident,Neither,Confident,Neither,Confident,Completely confident,Neither,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Completely guessing,Confident,Confident,Completely guessing
5886,Confident,Completely confident,Neither,Completely confident,Completely guessing,Confident,Confident,Completely confident,Neither,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident
5921,Confident,Confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Guessing,Confident,Completely confident,Confident,Neither,Confident,Confident,Completely confident,Neither,Confident,Confident,Completely guessing
5985,Completely confident,Completely confident,Neither,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Neither,Completely guessing
6000,Completely guessing,Completely confident,Confident,Completely confident,Guessing,Confident,Confident,Confident,Neither,Neither,Confident,Guessing,Neither,Confident,Confident,Completely confident,Guessing,Confident,Neither,Guessing
6022,Confident,Confident,Confident,Guessing,Completely confident,Neither,Confident,Completely confident,Neither,Confident,Confident,Confident,Confident,Completely confident,Neither,Completely confident,Confident,Confident,Confident,Confident
6043,Confident,Confident,Confident,Completely guessing,Confident,Neither,Confident,Neither,Neither,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Completely guessing
6094,Completely guessing,Completely confident,Confident,Guessing,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Completely confident,Completely guessing
6207,Confident,Completely confident,Guessing,Confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Confident,Neither,Completely confident,Confident,Neither,Confident,Confident,Confident,Confident,Guessing
6314,Neither,Completely confident,Confident,Completely guessing,Neither,Confident,Confident,Guessing,Neither,Neither,Confident,Guessing,Neither,Completely confident,Neither,Completely confident,Guessing,Confident,Neither,Neither
6339,Completely guessing,Completely confident,Confident,Guessing,Completely confident,Confident,Confident,Completely confident,Confident,Completely confident,Confident,Guessing,Neither,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither
6432,Confident,Confident,Confident,Neither,Confident,Neither,Completely confident,Completely confident,Guessing,Confident,Confident,Neither,Confident,Confident,Neither,Completely confident,Guessing,Confident,Confident,Guessing
6525,Confident,Completely confident,Completely guessing,Confident,Confident,Confident,Confident,Confident,Neither,Confident,Confident,Guessing,Confident,Confident,Completely confident,Completely confident,Confident,Confident,Guessing,Neither
6570,Confident,Completely confident,Neither,Confident,Neither,Confident,Completely confident,Confident,Guessing,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Neither,Confident,Neither,Guessing
6658,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Neither,Neither,Confident,Confident,Completely confident,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Neither,Completely guessing
6690,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident
6908,Guessing,Completely confident,Confident,Guessing,Completely confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Completely confident,Completely confident
7003,Neither,Completely confident,Confident,Confident,Completely confident,Neither,Completely confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Confident,Neither,Completely confident,Guessing,Completely confident,Completely confident,Guessing
7012,Completely confident,Completely confident,Guessing,Completely confident,Confident,Confident,Confident,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Neither,Guessing
7153,Confident,Completely confident,Confident,Completely confident,Neither,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident
7247,Neither,Confident,Confident,Guessing,Confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident
7257,Confident,Completely confident,Neither,Confident,Confident,Confident,Completely confident,Confident,Guessing,Neither,Confident,Neither,Neither,Confident,Completely confident,Completely confident,Guessing,Confident,Neither,Guessing
7298,Guessing,Confident,Guessing,Confident,Neither,Confident,Confident,Confident,Neither,Confident,Confident,Confident,Confident,Confident,Neither,Completely confident,Neither,Confident,Guessing,Completely guessing
7636,Completely confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Completely confident,Confident,Completely confident,Completely confident,Guessing,Completely confident,Confident,Confident
7678,Confident,Completely confident,Confident,Guessing,Completely confident,Neither,Confident,Completely confident,Neither,Completely confident,Confident,Neither,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident
